,painting index,img src,painting title,season,episode,num colors,youtube src,colors,color hex,black gesso,bright red,burnt umber,cadmium yellow,dark sienna,indian red,indian yellow,liquid black,liquid clear,midnight black,phthalo blue,phthalo green,prussian blue,sap green,titanium white,van dyke brown,yellow ochre,alizarin crimson
104,202,https://www.twoinchbrush.com/images/painting202.png,northern lights,8,13,9,https://www.youtube.com/embed/vgbmonxc9cs,"[alizarin crimson, black gesso, bright red, dark sienna, midnight black, phthalo blue, phthalo green, titanium white, van dyke brown]","[#4e1500, #000000, #db0000, #5f2e1f, #000000, #0c0040, #102e3c, #ffffff, #221b15]",1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1
105,177,https://www.twoinchbrush.com/images/painting177.png,winter evergreens,9,1,9,https://www.youtube.com/embed/o6l5ypt9ceu,"[alizarin crimson, bright red, dark sienna, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #5f2e1f, #000000, #0c0040, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1
106,178,https://www.twoinchbrush.com/images/painting178.png,surf's up,9,2,11,https://www.youtube.com/embed/zkxfvyyobpq,"[alizarin crimson, bright red, cadmium yellow, dark sienna, liquid clear, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffffff, #000000, #0c0040, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1
107,179,https://www.twoinchbrush.com/images/painting179.png,red sunset,9,3,11,https://www.youtube.com/embed/e5jhyi g-l0,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1
109,181,https://www.twoinchbrush.com/images/painting181.png,winter oval,9,5,7,https://www.youtube.com/embed/pywilm -sxw,"[alizarin crimson, bright red, dark sienna, midnight black, phthalo blue, titanium white, van dyke brown]","[#4e1500, #db0000, #5f2e1f, #000000, #0c0040, #ffffff, #221b15]",0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
110,182,https://www.twoinchbrush.com/images/painting182.png,secluded beach,9,6,11,https://www.youtube.com/embed/wgucw kfvzu,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #021e44, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1
116,188,https://www.twoinchbrush.com/images/painting188.png,mountain by the sea,9,12,13,https://www.youtube.com/embed/so--opb-yuq,"[alizarin crimson, bright red, cadmium yellow, dark sienna, liquid clear, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffffff, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
117,189,https://www.twoinchbrush.com/images/painting189.png,mountain hideaway,9,13,12,https://www.youtube.com/embed/q48ewprbzvs,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
119,164,https://www.twoinchbrush.com/images/painting164.png,cabin at sunset,10,2,12,https://www.youtube.com/embed/a6wil3oxnui,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
122,167,https://www.twoinchbrush.com/images/painting167.png,ocean breeze,10,5,12,https://www.youtube.com/embed/xzmdzfvxruw,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, phthalo green, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #102e3c, #021e44, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1
127,173,https://www.twoinchbrush.com/images/painting173.png,ocean sunset,10,10,12,https://www.youtube.com/embed/oj xqtvzf3o,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1
129,175,https://www.twoinchbrush.com/images/painting175.png,winter frost,10,12,9,https://www.youtube.com/embed/8satx-hlkui,"[alizarin crimson, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown]","[#4e1500, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #021e44, #ffffff, #221b15]",0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1
132,151,https://www.twoinchbrush.com/images/painting151.png,country cabin,11,2,7,https://www.youtube.com/embed/dkww2nhpuzw,"[alizarin crimson, bright red, dark sienna, midnight black, prussian blue, titanium white, van dyke brown]","[#4e1500, #db0000, #5f2e1f, #000000, #021e44, #ffffff, #221b15]",0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
133,152,https://www.twoinchbrush.com/images/painting152.png,daisy delight,11,3,10,https://www.youtube.com/embed/huhc1rqtvda,"[alizarin crimson, cadmium yellow, dark sienna, liquid clear, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #ffffff, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
135,154,https://www.twoinchbrush.com/images/painting154.png,towering glacier,11,5,12,https://www.youtube.com/embed/67vdgba3xkg,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1
136,155,https://www.twoinchbrush.com/images/painting155.png,oval barn,11,6,6,https://www.youtube.com/embed/hqbhcibidnm,"[bright red, dark sienna, midnight black, prussian blue, titanium white, van dyke brown]","[#db0000, #5f2e1f, #000000, #021e44, #ffffff, #221b15]",0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0
139,158,https://www.twoinchbrush.com/images/painting158.png,winter barn,11,9,6,https://www.youtube.com/embed/ xkn0cedreo,"[alizarin crimson, dark sienna, midnight black, phthalo blue, titanium white, van dyke brown]","[#4e1500, #5f2e1f, #000000, #0c0040, #ffffff, #221b15]",0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
140,159,https://www.twoinchbrush.com/images/painting159.png,sunset over the waves,11,10,10,https://www.youtube.com/embed/c4b b2f1ezg,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, titanium white, van dyke brown]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #ffffff, #221b15]",1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1
141,160,https://www.twoinchbrush.com/images/painting160.png,golden glow,11,11,8,https://www.youtube.com/embed/aa8rhtawaca,"[cadmium yellow, dark sienna, indian yellow, liquid clear, prussian blue, titanium white, van dyke brown, yellow ochre]","[#ffec00, #5f2e1f, #ffb800, #ffffff, #021e44, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0
144,137,https://www.twoinchbrush.com/images/painting137.png,golden knoll,12,1,7,https://www.youtube.com/embed/-o0bs65en5w,"[cadmium yellow, dark sienna, indian yellow, midnight black, titanium white, van dyke brown, yellow ochre]","[#ffec00, #5f2e1f, #ffb800, #000000, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0
147,140,https://www.twoinchbrush.com/images/painting140.png,bright autumn trees,12,4,13,https://www.youtube.com/embed/ar-c3h5zurm,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid black, midnight black, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #000000, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
148,141,https://www.twoinchbrush.com/images/painting141.png,black seascape,12,5,9,https://www.youtube.com/embed/p acan4cbwc,"[black gesso, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, phthalo green, titanium white, van dyke brown]","[#000000, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #102e3c, #ffffff, #221b15]",1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0
151,144,https://www.twoinchbrush.com/images/painting144.png,evening waterfall,12,8,11,https://www.youtube.com/embed/putvf p4588,"[black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0
153,146,https://www.twoinchbrush.com/images/painting146.png,mountain at sunset,12,10,13,https://www.youtube.com/embed/hcscatvigtw,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
156,149,https://www.twoinchbrush.com/images/painting149.png,winter mountain,12,13,7,https://www.youtube.com/embed/46vi20697hi,"[alizarin crimson, bright red, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown]","[#4e1500, #db0000, #000000, #0c0040, #021e44, #ffffff, #221b15]",0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1
158,125,https://www.twoinchbrush.com/images/painting125.png,frozen solitude,13,2,5,https://www.youtube.com/embed/knzssd9zwlw,"[dark sienna, midnight black, prussian blue, titanium white, van dyke brown]","[#5f2e1f, #000000, #021e44, #ffffff, #221b15]",0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0
162,129,https://www.twoinchbrush.com/images/painting129.png,hidden creek,13,6,10,https://www.youtube.com/embed/kmorz01bm0y,"[black gesso, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#000000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0
164,131,https://www.twoinchbrush.com/images/painting131.png,mountain exhibition,13,8,10,https://www.youtube.com/embed/bgi3 1quj18,"[alizarin crimson, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
165,132,https://www.twoinchbrush.com/images/painting132.png,emerald waters,13,9,9,https://www.youtube.com/embed/llunpqbzw6g,"[black gesso, cadmium yellow, dark sienna, midnight black, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#000000, #ffec00, #5f2e1f, #000000, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0
167,134,https://www.twoinchbrush.com/images/painting134.png,cabin hideaway,13,11,10,https://www.youtube.com/embed/njtlw2nl1lo,"[alizarin crimson, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1
168,135,https://www.twoinchbrush.com/images/painting135.png,oval essence,13,12,8,https://www.youtube.com/embed/q7wxf bsexw,"[alizarin crimson, cadmium yellow, dark sienna, midnight black, phthalo blue, phthalo green, titanium white, van dyke brown]","[#4e1500, #ffec00, #5f2e1f, #000000, #0c0040, #102e3c, #ffffff, #221b15]",0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1
172,113,https://www.twoinchbrush.com/images/painting113.png,mountain moonlight oval,14,3,12,https://www.youtube.com/embed/cigxqtt6bpm,"[alizarin crimson, black gesso, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
173,114,https://www.twoinchbrush.com/images/painting114.png,snowy solitude,14,4,7,https://www.youtube.com/embed/1zriqghsftm,"[alizarin crimson, dark sienna, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #5f2e1f, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1
176,117,https://www.twoinchbrush.com/images/painting117.png,windy waves,14,7,14,https://www.youtube.com/embed/y6gvvjg4hmg,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid black, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
177,118,https://www.twoinchbrush.com/images/painting118.png,on a clear day,14,8,11,https://www.youtube.com/embed/e63cgln6yag,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1
180,121,https://www.twoinchbrush.com/images/painting121.png,shadow pond,14,11,13,https://www.youtube.com/embed/bqwj3kqonpa,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
182,123,https://www.twoinchbrush.com/images/painting123.png,natural wonder,14,13,11,https://www.youtube.com/embed/knoutsaikfu,"[alizarin crimson, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
187,102,https://www.twoinchbrush.com/images/painting102.png,hidden winter moon oval,15,5,8,https://www.youtube.com/embed/yxamodl6rje,"[alizarin crimson, black gesso, dark sienna, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown]","[#4e1500, #000000, #5f2e1f, #000000, #0c0040, #021e44, #ffffff, #221b15]",1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1
188,103,https://www.twoinchbrush.com/images/painting103.png,waves of wonder,15,6,12,https://www.youtube.com/embed/tayqx ng-nc,"[alizarin crimson, bright red, cadmium yellow, dark sienna, liquid clear, midnight black, phthalo blue, phthalo green, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffffff, #000000, #0c0040, #102e3c, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
191,106,https://www.twoinchbrush.com/images/painting106.png,christmas eve snow,15,9,9,https://www.youtube.com/embed/cvqfg2pxk2a,"[alizarin crimson, black gesso, cadmium yellow, dark sienna, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown]","[#4e1500, #000000, #ffec00, #5f2e1f, #000000, #0c0040, #021e44, #ffffff, #221b15]",1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1
201,89,https://www.twoinchbrush.com/images/painting89.png,contemplative lady,16,6,1,https://www.youtube.com/embed/gnp6we7ql-s,[van dyke brown],[#221b15],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202,90,https://www.twoinchbrush.com/images/painting90.png,deep woods,16,7,10,https://www.youtube.com/embed/re5zvs yjfe,"[alizarin crimson, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1
205,94,https://www.twoinchbrush.com/images/painting94.png,that time of year,16,10,9,https://www.youtube.com/embed/q5moloqokp0,"[alizarin crimson, bright red, cadmium yellow, indian yellow, midnight black, phthalo blue, sap green, titanium white, van dyke brown]","[#4e1500, #db0000, #ffec00, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #221b15]",0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1
206,95,https://www.twoinchbrush.com/images/painting95.png,waterfall wonder,16,11,11,https://www.youtube.com/embed/aghxepfp-w4,"[alizarin crimson, black gesso, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
209,71,https://www.twoinchbrush.com/images/painting71.png,golden mist oval,17,1,9,https://www.youtube.com/embed/lhpfaw0k6um,"[alizarin crimson, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1
215,77,https://www.twoinchbrush.com/images/painting77.png,spectacular waterfall,17,7,15,https://www.youtube.com/embed/nk-hebxl2uw,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
219,81,https://www.twoinchbrush.com/images/painting81.png,morning walk,17,11,12,https://www.youtube.com/embed/psvgnkqdr2y,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1
224,60,https://www.twoinchbrush.com/images/painting60.png,mountain seclusion,18,3,10,https://www.youtube.com/embed/ebzkuvbry54,"[alizarin crimson, black gesso, cadmium yellow, dark sienna, liquid clear, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown]","[#4e1500, #000000, #ffec00, #5f2e1f, #ffffff, #000000, #0c0040, #021e44, #ffffff, #221b15]",1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1
229,65,https://www.twoinchbrush.com/images/painting65.png,winter lace,18,8,8,https://www.youtube.com/embed/wjf qoqrpck,"[alizarin crimson, bright red, dark sienna, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown]","[#4e1500, #db0000, #5f2e1f, #000000, #0c0040, #021e44, #ffffff, #221b15]",0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1
231,67,https://www.twoinchbrush.com/images/painting67.png,double oval stream,18,10,13,https://www.youtube.com/embed/rrjnhdr9dmu,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid black, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
234,70,https://www.twoinchbrush.com/images/painting70.png,rippling waters,18,13,12,https://www.youtube.com/embed/xvnjbynsit0,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid black, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1
236,45,https://www.twoinchbrush.com/images/painting45.png,quiet mountain lake,19,2,14,https://www.youtube.com/embed/2gq2v6dct2i,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
238,47,https://www.twoinchbrush.com/images/painting47.png,snowy morn,19,4,7,https://www.youtube.com/embed/ib1tdwlo0kk,"[alizarin crimson, dark sienna, midnight black, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #5f2e1f, #000000, #021e44, #ffffff, #221b15, #c79b00]",0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1
243,52,https://www.twoinchbrush.com/images/painting52.png,ebb tide,19,9,10,https://www.youtube.com/embed/mfona ln7ys,"[alizarin crimson, bright red, cadmium yellow, dark sienna, liquid clear, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffffff, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1
249,32,https://www.twoinchbrush.com/images/painting32.png,new day's dawn,20,2,12,https://www.youtube.com/embed/vbpdq0w8ylg,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
250,33,https://www.twoinchbrush.com/images/painting33.png,winter in pastel,20,3,9,https://www.youtube.com/embed/kbnxzrnmoum,"[alizarin crimson, bright red, dark sienna, indian yellow, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #5f2e1f, #ffb800, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1
252,35,https://www.twoinchbrush.com/images/painting35.png,divine elegance,20,5,12,https://www.youtube.com/embed/mb-gwx1s5gs,"[alizarin crimson, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
255,38,https://www.twoinchbrush.com/images/painting38.png,the old oak tree,20,8,13,https://www.youtube.com/embed/dn4hjan8p5u,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
256,39,https://www.twoinchbrush.com/images/painting39.png,winter paradise,20,9,6,https://www.youtube.com/embed/dy1abv8z1sq,"[alizarin crimson, dark sienna, midnight black, phthalo blue, prussian blue, titanium white]","[#4e1500, #5f2e1f, #000000, #0c0040, #021e44, #ffffff]",0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1
262,18,https://www.twoinchbrush.com/images/painting18.png,tranquil dawn,21,2,10,https://www.youtube.com/embed/4abdq6q-mlm,"[alizarin crimson, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1
266,22,https://www.twoinchbrush.com/images/painting22.png,mountain rhapsody,21,6,8,https://www.youtube.com/embed/h4vsmku5t7g,"[alizarin crimson, dark sienna, indian yellow, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #5f2e1f, #ffb800, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1
267,23,https://www.twoinchbrush.com/images/painting23.png,wilderness cabin,21,7,14,https://www.youtube.com/embed/gwehiacnd1e,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
