,painting index,img src,painting title,season,episode,num colors,youtube src,colors,color hex,black gesso,bright red,burnt umber,cadmium yellow,dark sienna,indian red,indian yellow,liquid black,liquid clear,midnight black,phthalo blue,phthalo green,prussian blue,sap green,titanium white,van dyke brown,yellow ochre,alizarin crimson
35,264,https://www.twoinchbrush.com/images/painting264.png,the old mill,3,9,10,https://www.youtube.com/embed/ofkfuj9edns,"[alizarin crimson, bright red, burnt umber, cadmium yellow, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #8a3324, #ffec00, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1
36,265,https://www.twoinchbrush.com/images/painting265.png,campfire,3,10,8,https://www.youtube.com/embed/l5bxki0-peg,"[alizarin crimson, black gesso, bright red, burnt umber, cadmium yellow, indian yellow, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #8a3324, #ffec00, #ffb800, #221b15, #c79b00]",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
39,268,https://www.twoinchbrush.com/images/painting268.png,peaceful waters,3,13,9,https://www.youtube.com/embed/z0vtjrlqxcq,"[alizarin crimson, cadmium yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
40,243,https://www.twoinchbrush.com/images/painting243.png,purple splendor,4,1,4,https://www.youtube.com/embed/hp4gfmgsnve,"[alizarin crimson, phthalo blue, titanium white, van dyke brown]","[#4e1500, #0c0040, #ffffff, #221b15]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
41,244,https://www.twoinchbrush.com/images/painting244.png,tranquil valley,4,2,10,https://www.youtube.com/embed/pbchoowwczs,"[alizarin crimson, bright red, burnt umber, cadmium yellow, indian yellow, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #8a3324, #ffec00, #ffb800, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
43,246,https://www.twoinchbrush.com/images/painting246.png,winter sawscape,4,4,7,https://www.youtube.com/embed/lmkawkronme,"[black gesso, bright red, burnt umber, cadmium yellow, midnight black, prussian blue, titanium white]","[#000000, #db0000, #8a3324, #ffec00, #000000, #021e44, #ffffff]",1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
44,247,https://www.twoinchbrush.com/images/painting247.png,evening seascape,4,5,10,https://www.youtube.com/embed/y5k4gxw -yi,"[alizarin crimson, black gesso, bright red, burnt umber, cadmium yellow, phthalo blue, phthalo green, prussian blue, titanium white, van dyke brown]","[#4e1500, #000000, #db0000, #8a3324, #ffec00, #0c0040, #102e3c, #021e44, #ffffff, #221b15]",1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1
45,248,https://www.twoinchbrush.com/images/painting248.png,warm summer day,4,6,11,https://www.youtube.com/embed/gbn9aiw3ao4,"[alizarin crimson, bright red, burnt umber, cadmium yellow, indian yellow, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #8a3324, #ffec00, #ffb800, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
46,249,https://www.twoinchbrush.com/images/painting249.png,cabin in the woods,4,7,11,https://www.youtube.com/embed/81qkellpa70,"[alizarin crimson, bright red, burnt umber, cadmium yellow, indian yellow, phthalo blue, phthalo green, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #8a3324, #ffec00, #ffb800, #0c0040, #102e3c, #0a3410, #ffffff, #221b15, #c79b00]",0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
47,250,https://www.twoinchbrush.com/images/painting250.png,wetlands,4,8,10,https://www.youtube.com/embed/2fpvyganpwm,"[alizarin crimson, bright red, burnt umber, cadmium yellow, indian yellow, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #8a3324, #ffec00, #ffb800, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
