,painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson
30,259,https://www.twoinchbrush.com/images/painting259.png,Winter Night,3,4,7,https://www.youtube.com/embed/8ysFkNYwhAE,"[""Alizarin Crimson"", ""Bright Red"", ""Cadmium Yellow"", ""Liquid Black"", ""Phthalo Green"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#DB0000"", ""#FFEC00"", ""#000000"", ""#102E3C"", ""#FFFFFF"", ""#221B15""]",0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1
31,260,https://www.twoinchbrush.com/images/painting260.png,Distant Hills,3,5,7,https://www.youtube.com/embed/8Zge88tVwjE,"[""Alizarin Crimson"", ""Burnt Umber"", ""Cadmium Yellow"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#8A3324"", ""#FFEC00"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
32,261,https://www.twoinchbrush.com/images/painting261.png,Covered Bridge,3,6,10,https://www.youtube.com/embed/OHSm8kLE7js,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Midnight Black"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#000000"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
33,262,https://www.twoinchbrush.com/images/painting262.png,Quiet Inlet,3,7,10,https://www.youtube.com/embed/9N5IWKzYIyU,"[""Alizarin Crimson"", ""Burnt Umber"", ""Cadmium Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#8A3324"", ""#FFEC00"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
34,263,https://www.twoinchbrush.com/images/painting263.png,Night Light,3,8,9,https://www.youtube.com/embed/l141Y0x8om0,"[""Alizarin Crimson"", ""Black Gesso"", ""Burnt Umber"", ""Cadmium Yellow"", ""Phthalo Green"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#8A3324"", ""#FFEC00"", ""#102E3C"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
35,264,https://www.twoinchbrush.com/images/painting264.png,The Old Mill,3,9,10,https://www.youtube.com/embed/OFKFUJ9eDNs,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Phthalo Blue"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#0C0040"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1
36,265,https://www.twoinchbrush.com/images/painting265.png,Campfire,3,10,8,https://www.youtube.com/embed/L5bXkI0-pEg,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#221B15"", ""#C79B00""]",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
39,268,https://www.twoinchbrush.com/images/painting268.png,Peaceful Waters,3,13,9,https://www.youtube.com/embed/Z0vtjRLqXcQ,"[""Alizarin Crimson"", ""Cadmium Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#FFEC00"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
40,243,https://www.twoinchbrush.com/images/painting243.png,Purple Splendor,4,1,4,https://www.youtube.com/embed/hP4GfMgsNVE,"[""Alizarin Crimson"", ""Phthalo Blue"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#0C0040"", ""#FFFFFF"", ""#221B15""]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
41,244,https://www.twoinchbrush.com/images/painting244.png,Tranquil Valley,4,2,10,https://www.youtube.com/embed/PbchoOWWCZs,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
43,246,https://www.twoinchbrush.com/images/painting246.png,Winter Sawscape,4,4,7,https://www.youtube.com/embed/lmKAwKrONmE,"[""Black Gesso"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Midnight Black"", ""Prussian Blue"", ""Titanium White""]","[""#000000"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#000000"", ""#021E44"", ""#FFFFFF""]",1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
44,247,https://www.twoinchbrush.com/images/painting247.png,Evening Seascape,4,5,10,https://www.youtube.com/embed/y5k4GXw_-yI,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#FFFFFF"", ""#221B15""]",1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1
45,248,https://www.twoinchbrush.com/images/painting248.png,Warm Summer Day,4,6,11,https://www.youtube.com/embed/GBN9AIw3Ao4,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
